,count,unique,top,freq,mean,std,min,25%,50%,75%,max
case_id,5000,5000,C00001,1,,,,,,,
client_name,5000,31,RiverRock,250,,,,,,,
client_segment,5000,3,Institutional,2628,,,,,,,
strategic_client,5000,2,False,4082,,,,,,,
fund_type,5000,6,UCITS,947,,,,,,,
domicile,5000,5,Cayman Islands,1047,,,,,,,
num_sub_funds,5000.0,,,,9.4572,5.561146772985419,1.0,5.0,9.0,13.0,25.0
num_share_classes,5000.0,,,,17.0782,9.792735281465468,1.0,9.0,17.0,24.0,44.0
num_jurisdictions,5000.0,,,,3.3854,1.6180823458945528,1.0,2.0,3.0,5.0,7.0
num_delegates,5000.0,,,,3.554,2.297246061677673,0.0,2.0,4.0,5.0,9.0
missing_documents,5000.0,,,,8.4114,5.009467935200181,0.0,4.0,8.0,12.0,21.0
aml_status,5000,4,Completed,2062,,,,,,,
kyc_status,5000,4,Completed,2068,,,,,,,
risk_rating,5000,3,Medium,2216,,,,,,,
client_priority,5000,4,Normal,2393,,,,,,,
sla_days,5000.0,,,,23.988,10.487986249567369,10.0,15.0,20.0,30.0,45.0
regulatory_review_required,5000.0,,,,0.2454,0.4303671492767952,0.0,0.0,0.0,0.0,1.0
blocker_count,5000.0,,,,1.7624,1.3190504989740797,0.0,1.0,2.0,3.0,5.0
latest_blocker_type,2700,6,AML Delay,662,,,,,,,
complexity_score,5000.0,,,,137.31352,49.65007346589362,32.0,104.3,124.2,153.5,307.6
complexity_label,5000,3,High,2457,,,,,,,
actual_effort_hours,5000.0,,,,136.3688,51.28292049159086,34.9,100.6,124.3,157.8,358.4
actual_completion_days,5000.0,,,,21.20808,6.905768359924055,6.1,16.4,19.7,24.2,49.5
operational_pressure_score,5000.0,,,,66.65782,13.625540206420563,21.9,57.0,66.0,76.0,100.0
pressure_band,5000,4,Medium,2301,,,,,,,
sla_breached,5000.0,,,,0.2104,0.4076335033024186,0.0,0.0,0.0,0.0,1.0
