case_id,client_name,client_segment,strategic_client,fund_type,domicile,num_sub_funds,num_share_classes,num_jurisdictions,num_delegates,missing_documents,aml_status,kyc_status,risk_rating,client_priority,sla_days,regulatory_review_required,blocker_count,latest_blocker_type,complexity_score,complexity_label,actual_effort_hours,actual_completion_days,operational_pressure_score,pressure_band,sla_breached
C00001,NorthPeak,Small / Emerging,False,Hedge Fund,Ireland,2,6,2,3,5,In Progress,In Progress,Low,Normal,20,1,0,Regulatory Review,79.2,Medium,99.2,17.9,47.6,Medium,1
C00002,Schroders,Institutional,False,Money Market,Ireland,7,28,1,5,7,Pending,Completed,Medium,Normal,30,0,0,None,100.9,Medium,100.2,15.4,60.0,Medium,0
C00003,OakBridge,Small / Emerging,False,Private Equity,Ireland,10,25,4,3,11,Completed,Failed,Medium,Normal,30,0,0,None,142.8,High,120.4,20.0,60.0,Medium,0
C00004,BNY,Institutional,False,UCITS,Cayman Islands,5,10,2,0,11,Completed,Failed,High,Normal,30,1,2,KYC Issue,131.3,High,155.4,23.5,66.0,High,1
C00005,RiverRock,High Profile,True,UCITS,Luxembourg,12,44,6,8,6,In Progress,In Progress,High,Critical,15,1,1,None,221.4,High,200.7,28.8,72.0,High,1
C00006,Abrdn,Institutional,False,UCITS,Cayman Islands,15,15,2,1,11,Pending,Completed,Low,Normal,30,0,0,Client Dependency,97.8,Medium,88.6,16.4,59.0,Medium,0
C00007,Fidelity,Institutional,False,UCITS,UK,13,4,5,6,6,In Progress,Completed,High,High,30,0,0,None,130.1,High,138.5,23.0,50.0,Medium,0
C00008,Invesco,Institutional,False,Money Market,UK,14,25,5,5,11,Completed,In Progress,Low,High,45,1,3,AML Delay,167.1,High,146.4,22.2,59.0,Medium,0
C00009,Northern Trust,Institutional,False,AIF,Ireland,10,23,4,0,6,In Progress,Pending,Medium,Low,20,0,1,None,112.2,Medium,90.9,16.4,70.0,High,0
C00010,Nova Asset Management,Small / Emerging,False,AIF,Ireland,7,6,3,0,13,Completed,Pending,High,Low,20,1,0,AML Delay,114.6,Medium,119.2,18.0,67.0,High,0
C00011,Varagon Generation,High Profile,True,Real Estate,Luxembourg,16,21,4,5,20,Completed,In Progress,High,Critical,30,1,5,None,260.5,High,228.1,33.4,77.0,High,1
C00012,Northern Trust,Institutional,False,Private Equity,Malta,5,1,1,2,13,Pending,In Progress,Low,Low,10,0,1,None,95.2,Medium,96.1,15.6,75.8,High,0
C00013,Aon,High Profile,True,UCITS,Luxembourg,11,20,5,3,9,Blocked,Failed,Low,High,20,0,5,Missing Documents,209.9,High,220.5,30.8,100.0,Critical,0
C00014,NorthPeak,Small / Emerging,False,Private Equity,UK,12,27,5,2,3,Completed,In Progress,Medium,Low,30,0,3,AML Delay,137.4,High,156.5,21.9,59.0,Medium,0
C00015,Liffey Investments,Small / Emerging,False,Money Market,Luxembourg,3,20,4,0,0,Blocked,Completed,Medium,Normal,45,0,3,AML Delay,102.6,Medium,95.0,17.4,69.0,High,0
C00016,RiverRock,High Profile,True,AIF,Ireland,10,16,6,4,19,Completed,Failed,Medium,Critical,15,1,1,AML Delay,205.5,High,201.5,28.9,82.0,High,0
C00017,Aon,High Profile,True,Real Estate,Ireland,19,14,7,5,12,Pending,Completed,High,High,15,0,1,None,212.6,High,195.3,30.6,82.0,High,0
C00018,DWS,Institutional,False,Private Equity,Cayman Islands,8,20,3,0,7,Completed,In Progress,Medium,High,30,0,3,None,124.2,Medium,147.9,23.1,59.0,Medium,1
C00019,NorthPeak,Small / Emerging,False,Money Market,Malta,14,25,3,0,12,In Progress,In Progress,Low,Normal,20,0,1,Client Dependency,114.9,Medium,104.7,17.6,60.0,Medium,0
C00020,RiverRock,High Profile,True,UCITS,Malta,8,13,3,8,19,Completed,Failed,Medium,Critical,15,0,4,KYC Issue,211.2,High,195.6,30.1,91.0,Critical,0
C00021,M&G,Institutional,False,Real Estate,Cayman Islands,1,16,4,2,2,In Progress,Failed,Low,High,15,0,1,KYC Issue,105.6,Medium,98.4,16.6,70.0,High,0
C00022,DWS,Institutional,False,UCITS,Malta,14,1,4,6,15,Completed,In Progress,Medium,Low,20,0,0,Analyst Unavailable,122.1,Medium,103.9,17.7,57.0,Medium,0
C00023,SilverStone,Small / Emerging,False,Hedge Fund,Malta,3,17,1,3,11,Completed,Completed,Medium,Normal,45,0,1,Missing Documents,90.5,Medium,110.0,15.7,48.7,Medium,0
C00024,Legal & General,Institutional,False,UCITS,UK,1,14,5,6,2,Blocked,Completed,Low,Low,30,0,3,None,113.5,Medium,135.1,20.2,69.0,High,0
C00025,Legal & General,Institutional,False,Money Market,Cayman Islands,7,1,3,1,8,Pending,In Progress,Low,High,10,1,1,None,101.6,Medium,125.4,18.1,78.0,High,0
C00026,J.P. Morgan,Institutional,False,Money Market,Ireland,6,23,2,6,10,Blocked,Completed,Medium,High,30,0,1,Regulatory Review,138.6,High,168.8,26.5,63.0,Medium,0
C00027,Evercrest,Small / Emerging,False,UCITS,Ireland,11,22,5,1,6,Pending,In Progress,Low,Low,20,1,1,None,123.6,Medium,143.1,23.3,70.0,High,0
C00028,State Street,Institutional,False,Hedge Fund,Luxembourg,14,16,4,2,6,Pending,Pending,Medium,Normal,15,1,2,Client Dependency,161.4,High,165.5,23.4,83.0,High,0
C00029,Harbour Capital,Small / Emerging,False,UCITS,Luxembourg,6,19,1,1,14,Completed,Pending,Medium,Normal,30,0,1,Missing Documents,100.6,Medium,90.0,13.1,63.0,Medium,0
C00030,Aon,High Profile,True,Real Estate,Luxembourg,18,42,7,6,15,Completed,Pending,High,High,20,0,4,KYC Issue,266.2,High,274.3,37.9,91.0,Critical,1
C00031,BNY,Institutional,False,UCITS,Malta,4,15,3,6,7,Blocked,Completed,Medium,Normal,45,0,3,None,133.4,High,109.8,17.4,69.0,High,0
C00032,Nova Asset Management,Small / Emerging,False,AIF,UK,10,5,2,4,13,In Progress,Failed,Low,Normal,20,0,2,Client Dependency,127.9,High,121.3,19.9,73.0,High,1
C00033,RiverRock,High Profile,True,AIF,Luxembourg,8,43,3,7,4,Pending,Completed,High,High,20,0,5,None,202.2,High,228.7,33.2,94.0,Critical,1
C00034,Northern Trust,Institutional,False,Real Estate,Cayman Islands,3,5,1,4,13,Completed,Pending,Medium,Normal,20,0,3,KYC Issue,119.0,Medium,98.3,14.3,76.0,High,0
C00035,Goldman Sachs,Institutional,False,Private Equity,Cayman Islands,4,5,4,1,9,In Progress,Completed,Medium,Normal,30,0,3,None,109.0,Medium,123.0,20.0,59.0,Medium,1
C00036,PIMCO,Institutional,False,Real Estate,Luxembourg,6,5,4,1,3,In Progress,Completed,Medium,Normal,20,0,2,None,91.6,Medium,64.2,13.3,59.2,Medium,0
C00037,M&G,Institutional,False,Hedge Fund,Luxembourg,8,5,5,3,15,Completed,Failed,Low,Normal,30,0,3,None,150.1,High,183.9,28.2,69.0,High,0
C00038,AllianzGI,Institutional,False,UCITS,Cayman Islands,1,1,5,2,10,In Progress,Pending,Medium,High,20,0,0,KYC Issue,95.5,Medium,104.4,18.2,65.0,High,0
C00039,Aon,High Profile,True,Private Equity,Ireland,18,38,7,6,17,Completed,Pending,High,High,15,0,2,Missing Documents,251.6,High,185.5,28.4,85.0,Critical,0
C00040,Fidelity,Institutional,False,Real Estate,Cayman Islands,10,26,2,2,8,Completed,Pending,Medium,High,45,1,2,AML Delay,149.2,High,126.0,20.6,66.0,High,0
C00041,Arbour Wealth,Small / Emerging,False,Private Equity,Cayman Islands,13,24,4,0,4,In Progress,Pending,High,Normal,30,0,0,None,134.0,High,122.1,20.5,60.0,Medium,0
C00042,Apollo,High Profile,True,UCITS,Luxembourg,23,27,3,9,8,In Progress,Failed,Low,High,15,1,4,None,235.6,High,219.3,33.2,91.0,Critical,0
C00043,Fidelity,Institutional,False,Private Equity,Ireland,9,17,1,5,3,Completed,Completed,Medium,High,30,1,3,Missing Documents,128.3,High,119.0,17.1,59.0,Medium,0
C00044,BlackRock,Institutional,False,Hedge Fund,Malta,3,12,1,6,11,Completed,Completed,High,High,20,1,1,Regulatory Review,132.0,High,140.9,21.7,60.0,Medium,0
C00045,BNY,Institutional,False,Private Equity,Cayman Islands,5,5,3,3,8,In Progress,Completed,Medium,High,30,1,3,Client Dependency,131.4,High,144.3,23.4,59.0,Medium,1
C00046,DWS,Institutional,False,Private Equity,Luxembourg,10,26,2,4,2,In Progress,In Progress,Low,Normal,45,0,2,None,113.4,Medium,118.8,19.7,56.0,Medium,0
C00047,Northern Trust,Institutional,False,Hedge Fund,Ireland,9,10,2,3,0,Pending,Completed,Medium,High,15,0,0,Missing Documents,92.3,Medium,102.3,16.2,63.5,Medium,0
C00048,Apollo,High Profile,True,UCITS,Ireland,9,14,7,7,9,Completed,Failed,Low,Normal,10,0,3,None,171.7,High,174.0,27.7,96.0,Critical,0
C00049,State Street,Institutional,False,Real Estate,Ireland,1,7,1,4,3,Blocked,In Progress,Low,Normal,30,1,3,None,116.2,Medium,101.6,18.2,69.0,High,1
C00050,M&G,Institutional,False,UCITS,Luxembourg,3,13,5,1,11,Pending,In Progress,High,Normal,45,0,1,KYC Issue,123.3,Medium,104.2,15.4,63.0,Medium,1
C00051,State Street,Institutional,False,Money Market,Ireland,9,7,1,2,12,Pending,Pending,Medium,Low,45,0,3,None,127.5,High,148.4,24.3,79.0,High,1
C00052,Fidelity,Institutional,False,Money Market,Cayman Islands,6,26,4,4,15,Completed,Pending,High,Low,45,0,0,None,139.5,High,105.8,18.7,60.0,Medium,0
C00053,Liffey Investments,Small / Emerging,False,Hedge Fund,Malta,11,28,5,3,2,In Progress,Pending,Medium,Normal,30,0,2,Regulatory Review,144.2,High,183.2,28.2,66.0,High,0
C00054,Blue Horizon,Small / Emerging,False,Hedge Fund,Ireland,5,22,3,6,8,Pending,Completed,Medium,Normal,20,0,2,None,134.5,High,121.8,21.0,73.0,High,0
C00055,Northern Trust,Institutional,False,Hedge Fund,Luxembourg,12,24,4,4,7,Completed,Pending,Medium,Normal,10,0,1,Missing Documents,137.7,High,108.6,17.8,78.0,High,1
C00056,Abrdn,Institutional,False,AIF,Luxembourg,9,4,3,5,14,In Progress,In Progress,Medium,High,15,0,0,None,119.2,Medium,105.1,16.7,57.0,Medium,0
C00057,Northern Trust,Institutional,False,Private Equity,Cayman Islands,13,13,3,4,5,In Progress,Completed,High,Normal,20,0,1,None,131.0,High,128.5,18.5,60.0,Medium,0
C00058,RiverRock,High Profile,True,AIF,UK,20,14,3,8,4,Pending,Failed,High,High,20,1,2,Client Dependency,221.9,High,267.1,37.2,95.0,Critical,0
C00059,BNY,Institutional,False,UCITS,Luxembourg,15,25,3,2,0,Pending,Completed,Medium,Normal,30,0,0,Client Dependency,98.5,Medium,81.2,14.8,59.3,Medium,0
C00060,Invesco,Institutional,False,AIF,Cayman Islands,7,5,5,4,9,In Progress,Pending,Low,Low,20,0,1,None,106.6,Medium,108.9,16.5,70.0,High,0
C00061,Varagon Generation,High Profile,True,UCITS,Malta,8,22,6,8,4,Completed,In Progress,High,Critical,10,1,1,None,182.4,High,200.8,29.7,80.0,High,0
C00062,Fidelity,Institutional,False,Private Equity,Cayman Islands,2,12,1,5,11,In Progress,Pending,Low,Normal,20,0,0,AML Delay,95.3,Medium,76.8,14.4,64.9,Medium,0
C00063,M&G,Institutional,False,Real Estate,UK,15,15,5,4,13,Completed,Failed,Low,High,30,0,1,None,164.4,High,186.2,29.7,63.0,Medium,0
C00064,Aon,High Profile,True,UCITS,UK,25,39,5,5,5,In Progress,Pending,High,Normal,15,1,4,AML Delay,243.7,High,246.0,35.6,91.0,Critical,0
C00065,DWS,Institutional,False,Hedge Fund,Malta,14,23,2,2,0,Pending,In Progress,Medium,High,20,0,0,None,117.2,Medium,138.2,22.5,67.0,High,1
C00066,J.P. Morgan,Institutional,False,UCITS,Cayman Islands,5,2,5,1,12,Completed,Pending,Medium,High,45,0,1,KYC Issue,106.2,Medium,112.8,17.0,63.0,Medium,1
C00067,BNY,Institutional,False,Real Estate,Malta,9,23,3,5,15,In Progress,Completed,Medium,High,30,0,3,None,165.7,High,136.0,22.6,59.0,Medium,0
C00068,NorthPeak,Small / Emerging,False,Real Estate,Luxembourg,2,29,2,2,2,Blocked,Failed,Medium,Normal,10,0,0,KYC Issue,123.2,Medium,111.0,16.9,85.0,Critical,1
C00069,OakBridge,Small / Emerging,False,Real Estate,UK,5,6,1,4,8,Completed,Pending,High,Normal,20,0,3,Regulatory Review,127.7,High,110.3,18.5,76.0,High,1
C00070,Invesco,Institutional,False,Private Equity,UK,9,15,1,5,14,Completed,Failed,High,Normal,20,0,3,None,172.0,High,189.8,30.0,76.0,High,1
C00071,Evercrest,Small / Emerging,False,UCITS,Cayman Islands,10,4,1,0,2,In Progress,In Progress,Medium,Normal,20,0,0,Missing Documents,59.3,Low,78.8,12.5,38.7,Low,0
C00072,Fidelity,Institutional,False,AIF,Malta,14,24,2,4,9,Pending,Completed,Medium,Low,45,1,1,KYC Issue,138.7,High,115.6,16.9,63.0,Medium,0
C00073,BlackRock,Institutional,False,Real Estate,Luxembourg,7,14,3,6,11,Completed,Completed,High,Low,45,0,0,Missing Documents,123.4,Medium,139.4,20.0,50.0,Medium,0
C00074,BNY,Institutional,False,Private Equity,Malta,12,10,1,0,6,Pending,Failed,Low,Normal,20,0,1,Regulatory Review,112.7,Medium,97.5,14.5,80.0,High,0
C00075,Nova Asset Management,Small / Emerging,False,Private Equity,Malta,4,25,4,1,2,Completed,Pending,Low,Low,30,0,0,KYC Issue,80.9,Medium,83.1,14.4,51.4,Medium,0
C00076,GreenRock,Small / Emerging,False,Real Estate,Luxembourg,1,12,3,1,8,In Progress,Completed,Medium,Normal,45,1,0,None,89.2,Medium,81.7,14.5,45.1,Medium,0
